Rank,OrgRank,PosRank,Org,Name,,Pos,FV
,3,44,LAA,Trey Gregory-Alford,,SP,45.5
,3,45,ATL,Cam Caminiti,,SP,45.5
,3,9,PHI,Justin Crawford,,CF,45.5
,3,6,ARI,Jansel Luis,,3B,45.5
,4,10,LAA,Hayden Alvarez,,CF,45.5
,4,24,CIN,Steele Hall,,SS,45.5
,4,46,ATL,Owen Murphy,,SP,45.5
,4,7,TOR,JoJo Parker,,3B,45.5
,4,5,ARI,JD Dix,,2B,45.5
,4,6,PHI,Aroon Escobar,,2B,45
,5,47,NYY,Ben Hess,,SP,45.5
,5,7,ARI,Demetrio Crisantes,,2B,45.5
,5,11,LAA,Nelson Rada,,CF,45
,5,7,CIN,Héctor Rodríguez,,RF,45
,5,25,ATL,Alex Lodise,,SS,45
,5,48,PHI,Gage Wood,,SP,45
,5,49,TOR,Ricky Tiedemann,,SP,45
,6,12,NYM,A.J. Ewing,,CF,45.5
,6,50,STL,Brandon Clarke,,SP,45.5
,6,13,LAD,Mike Sirota,,CF,45.5
,6,14,NYY,Spencer Jones,,CF,45.5
,6,2,ARI,Yilber Díaz,,SIRP,45.5
,6,26,LAA,Denzer Guzman,,SS,45
,6,51,CIN,Jose Franco,,SP,45
,6,52,ATL,Garrett Baumann,,SP,45
,6,53,PHI,Moisés Chace,,SP,45
,6,27,DET,Jordan Yost,,SS,45
,6,54,TOR,Johnny King,,SP,45
,7,28,NYM,Wandy Asigen,,SS,45.5
,7,8,STL,Joshua Baez,,RF,45.5
,7,55,LAD,Christian Zazueta,,SP,45.5
,7,56,CLE,Braylon Doughty,,SP,45.5
,7,57,MIL,Bishop Letson,,SP,45.5
,7,29,CHW,Billy Carlson,,SS,45.5
,7,1,LAA,Ryan Johnson,,MIRP,45
,7,4,CIN,Cam Collier,,1B,45
,7,58,ATL,Luke Sinnard,,SP,45
,7,59,NYY,Bryce Cunningham,,SP,45
,7,60,PHI,Jean Cabrera,,SP,45
,7,9,DET,Cris Rodriguez,,RF,45
,7,8,ARI,Kayson Cunningham,,2B,45
,7,15,TOR,Victor Arias,,CF,40.5
,8,3,NYM,Jonathan Santucci,,SIRP,45.5
,8,30,STL,Yairo Padilla,,SS,45.5
,8,31,CLE,Gabriel Rodriguez,,SS,45.5
,8,8,MIL,Andrew Fischer,,3B,45.5
,8,14,LAA,Juan Flores,,C,45
,8,32,LAD,Alex Freeland,,SS,45
,8,5,ATL,Diego Tornes,,LF,45
,8,61,NYY,Chase Hampton,,SP,45
,8,6,PHI,Gabriel Rincones Jr.,,LF,45
,8,62,ARI,Daniel Eagen,,SP,45
,8,15,SEA,Luke Stevenson,,C,45
,8,63,CHW,Jedixson Paez,,SP,45
,8,4,CIN,Zach Maxwell,,SIRP,40.5
,8,16,DET,Eduardo Valencia,,C,40.5
,8,9,TOR,Juan Sanchez,,3B,40.5
,9,2,NYM,Will Watson,,MIRP,45.5
,9,16,CLE,Robert Arias,,CF,45.5
,9,17,STL,Leonardo Bernal,,C,45
,9,10,LAD,James Tibbs III,,RF,45
,9,7,PHI,Francisco Renteria,,LF,45
,9,8,MIL,Josh Adamczewski,,LF,45
,9,10,ARI,LuJames Groover,,3B,45
,9,3,CHW,David Sandlin,,MIRP,45
,9,64,LAA,Johnny Slawinski,,SP,40.5
,9,65,CIN,Chase Petty,,SP,40.5
,9,33,ATL,John Gil,,SS,40.5
,9,5,NYY,Allen Facundo,,SIRP,40.5
,9,9,DET,Hao-Yu Lee,,2B,40.5
,9,6,TOR,Gage Stanifer,,SIRP,40.5
,9,17,SEA,Yorger Bautista,,CF,40.5
,10,11,NYM,Ryan Clifford,,RF,45
,10,66,STL,Quinn Mathews,,SP,45
,10,9,LAD,Charles Davalan,,LF,45
,10,18,CLE,Cooper Ingle,,C,45
,10,67,PHI,Matthew Fisher,,SP,45
,10,34,MIL,Cooper Pratt,,SS,45
,10,68,ARI,Cristian Mena,,SP,45
,10,69,LAA,Joel Hurtado,,SP,40.5
,10,18,CIN,Carlos Jorge,,CF,40.5
,10,35,ATL,Tate Southisene,,SS,40.5
,10,11,DET,Max Anderson,,3B,40.5
,10,19,TOR,Juan Caricote,,C,40.5
,10,36,SEA,Nick Becker,,SS,40.5
,10,10,CHW,Jaden Fauske,,LF,40.5
,10,70,NYY,Cade Smith,,SP,40
,11,12,NYM,Elian Peña,,3B,45
,11,71,STL,Tink Hence,,SP,45
,11,72,LAD,Adam Serwinowski,,SP,45
,11,19,CLE,Kahlil Watson,,CF,45
,11,20,MIL,Luis Lara,,CF,45
,11,73,ARI,Kohl Drake,,SP,45
,11,20,LAA,Marlon Quintero,,C,40.5
,11,37,CIN,Tyson Lewis,,SS,40.5
,11,74,ATL,Briggs McKenzie,,SP,40.5
,11,38,PHI,Romeli Espinosa,,SS,40.5
,11,4,DET,Andrew Sears,,MIRP,40.5
,11,21,SEA,Juan Rijo,,CF,40.5
,11,10,CHW,Sam Antonacci,,2B,40.5
,11,39,NYY,Kaeden Kent,,SS,40
,11,11,TOR,Yohendrick Pinango,,LF,40
,12,75,NYM,Zach Thornton,,SP,45
,12,5,STL,Tekoah Roby,,MIRP,45
,12,76,LAD,Marlon Nieves,,SP,45
,12,22,CLE,Jace LaViolette,,CF,45
,12,77,MIL,Robert Gasser,,SP,45
,12,40,LAA,Joswa Lugo,,SS,40.5
,12,13,CIN,Hansel Jimenez,,3B,40.5
,12,23,ATL,Owen Carey,,CF,40.5
,12,78,PHI,Cade Obermueller,,SP,40.5
,12,21,DET,Michael Oliveto,,C,40.5
,12,79,ARI,Ashton Izzi,,SP,40.5
,12,80,CHW,Aldrin Batista,,SP,40.5
,12,7,NYY,Cade Winquest,,SIRP,40
,12,8,TOR,Angel Bastardo,,SIRP,40
,12,6,SEA,Teddy McGraw,,MIRP,40
,13,81,LAD,Jackson Ferris,,SP,45
,13,82,CLE,Matt Wilkinson,,SP,45
,13,83,MIL,J.D. Thompson,,SP,45
,13,41,LAA,Yilver De Paula,,SS,40.5
,13,42,CIN,Liberts Aponte,,SS,40.5
,13,22,NYM,Chris Suero,,C,40.5
,13,24,STL,Ryan Mitchell,,CF,40.5
,13,25,ATL,Conor Essenburg,,CF,40.5
,13,26,PHI,Dante Nori,,CF,40.5
,13,43,DET,Angel De Los Santos,,SS,40.5
,13,84,ARI,David Hagaman,,SP,40.5
,13,85,NYY,Thatcher Hurd,,SP,40
,13,86,TOR,Silvano Hechavarria,,SP,40
,13,87,SEA,Griffin Hugus,,SP,40
,13,44,CHW,Kyle Lodise,,SS,40
,14,88,CLE,Caden Favors,,SP,45
,14,89,MIL,Josh Knoth,,SP,45
,14,27,CIN,Angel Nuñez,,CF,40.5
,14,90,NYM,R.J. Gordon,,SP,40.5
,14,28,STL,Tai Peete,,CF,40.5
,14,12,LAD,Zach Ehrhard,,RF,40.5
,14,45,ATL,Edelson Cabral,,SS,40.5
,14,9,PHI,Alex McFarlane,,SIRP,40.5
,14,29,DET,Randy Santana,,CF,40.5
,14,91,ARI,Patrick Forbes,,SP,40.5
,14,10,LAA,Chris Cortez,,SIRP,40
,14,7,NYY,Alexander Almonte,,MIRP,40
,14,14,TOR,Sean Keys,,3B,40
,14,30,SEA,Korbyn Dickerson,,CF,40
,14,92,CHW,Mason Adams,,SP,40
,15,93,CIN,Aaron Watson,,SP,40.5
,15,31,NYM,Eli Serrano III,,CF,40.5
,15,94,STL,Chen-Wei Lin,,SP,40.5
,15,32,LAD,Kendall George,,CF,40.5
,15,13,CLE,Juneiker Caceres,,RF,40.5
,15,23,DET,Manuel Bolivar,,C,40.5
,15,46,MIL,Brady Ebel,,SS,40.5
,15,8,ARI,Brandyn Garcia,,MIRP,40.5
,15,11,LAA,Chase Shores,,SIRP,40
,15,12,ATL,Raudy Reyes,,SIRP,40
,15,14,NYY,Wilberson De Pena,,RF,40
,15,9,PHI,Cody Bowker,,MIRP,40
,15,11,TOR,Adrian Pinto,,2B,40
,15,95,CHW,Ky Bush,,SP,40
,15,13,SEA,Robinson Ortiz,,SIRP,35.5
,16,10,CIN,Mason Morris,,MIRP,40.5
,16,15,NYM,Boston Baro,,3B,40.5
,16,96,STL,Ixan Henderson,,SP,40.5
,16,97,LAD,Zachary Root,,SP,40.5
,16,33,CLE,Jaison Chourio,,CF,40.5
,16,14,DET,Malachi Witherspoon,,SIRP,40.5
,16,5,MIL,Blake Burke,,1B,40.5
,16,15,ARI,Wellington Aracena,,SIRP,40.5
,16,34,LAA,Raudi Rodriguez,,CF,40
,16,35,ATL,Eric Hartman,,CF,40
,16,16,NYY,Henry Lalane,,SIRP,40
,16,6,PHI,Keaton Anthony,,1B,40
,16,47,TOR,Josh Kasevich,,SS,40
,16,11,CHW,Juan Carela,,MIRP,40
,16,17,SEA,Mason Peters,,SIRP,35.5
,17,18,NYM,Dylan Ross,,SIRP,40.5
,17,98,STL,Brycen Mautz,,SP,40.5
,17,99,LAD,Luis Carias,,SP,40.5
,17,48,CLE,Dauri Fernandez,,SS,40.5
,17,19,DET,Kelvis Salcedo,,SIRP,40.5
,17,100,MIL,Tyson Hardin,,SP,40.5
,17,101,ARI,Dean Livingston,,SP,40.5
,17,102,LAA,Sam Aldegheri,,SP,40
,17,49,CIN,Edwin Arroyo,,SS,40
,17,20,ATL,Blake Burkhalter,,SIRP,40
,17,103,NYY,Sabier Marte,,SP,40
,17,21,PHI,Gabe Craig,,SIRP,40
,17,12,TOR,Adam Macko,,MIRP,40
,17,50,CHW,William Bergolla,,SS,40
,17,104,SEA,Marcelo Perez,,SP,35.5
,18,22,NYM,Jonathan Pintaro,,SIRP,40.5
,18,105,STL,Hancel Rincon,,SP,40.5
,18,106,LAD,Oliver Gonzalez,,SP,40.5
,18,23,CLE,Daniel Espino,,SIRP,40.5
,18,51,DET,Oscar Tineo,,SS,40.5
,18,36,MIL,Braylon Payne,,CF,40.5
,18,107,ARI,Junior Ciprian,,SP,40.5
,18,108,LAA,CJ Gray,,SP,40
,18,52,CIN,Leo Balcazar,,SS,40
,18,24,ATL,Rolddy Muñoz,,SIRP,40
,18,109,NYY,Chalniel Arias,,SP,40
,18,25,PHI,Ramon Marquez,,SIRP,40
,18,37,TOR,Blaine Bullard,,CF,40
,18,12,CHW,Jeral Perez,,2B,40
,18,26,SEA,Christian Little,,SIRP,35.5
,19,110,STL,Pete Hansen,,SP,40.5
,19,27,CLE,Joey Oakie,,SIRP,40.5
,19,111,DET,Owen Hall,,SP,40.5
,19,13,MIL,Shane Drohan,,MIRP,40.5
,19,28,ARI,Hunter Cranton,,SIRP,40.5
,19,7,LAA,Gabriel Davalillo,,1B,40
,19,24,CIN,Jirvin Morillo,,C,40
,19,38,NYM,Nick Morabito,,CF,40
,19,53,LAD,Joendry Vargas,,SS,40
,19,112,ATL,Carter Holton,,SP,40
,19,29,NYY,Brock Selvidge,,SIRP,40
,19,15,PHI,Dylan Campbell,,RF,40
,19,16,TOR,RJ Schreck,,RF,40
,19,1,CHW,Tanner Murray,,UTIL,40
,19,113,SEA,Michael Morales,,SP,35.5
,20,13,STL,Jesus Baez,,2B,40.5
,20,30,MIL,Coleman Crow,,SIRP,40.5
,20,114,LAA,Dylan Jordan,,SP,40
,20,12,CIN,Arnaldo Lantigua,,LF,40
,20,14,NYM,Mitch Voit,,2B,40
,20,39,LAD,Kellon Lindsey,,CF,40
,20,40,ATL,Luis Guanipa,,CF,40
,20,17,CLE,George Valera,,RF,40
,20,25,PHI,Alirio Ferrebus,,C,40
,20,115,DET,Lucas Elissalt,,SP,40
,20,116,TOR,Brandon Barriera,,SP,40
,20,18,ARI,Adriel Radney,,RF,40
,20,31,CHW,Zach Franklin,,SIRP,40
,20,117,NYY,Brendan Beck,,SP,35.5
,20,14,SEA,Blas Castaño,,MIRP,35.5
,21,15,STL,Cooper Hjerpe,,MIRP,40.5
,21,32,MIL,Craig Yoho,,SIRP,40.5
,21,33,LAA,Samy Natera Jr.,,SIRP,40
,21,118,CIN,Luke Holman,,SP,40
,21,34,NYM,Ryan Lambert,,SIRP,40
,21,13,LAD,Ryan Ward,,LF,40
,21,119,ATL,Landon Beidelschies,,SP,40
,21,19,CLE,Alfonsin Rosario,,RF,40
,21,26,PHI,Anderson Araujo,,C,40
,21,54,DET,John Peck,,SS,40
,21,16,TOR,Tim Piasentin,,3B,40
,21,120,ARI,Mitch Bratt,,SP,40
,21,121,CHW,Duncan Davitt,,SP,40
,21,35,NYY,Carson Coleman,,SIRP,35.5
,21,15,SEA,Brock Rodden,,2B,35.5
,22,16,STL,Sem Robberse,,MIRP,40.5
,22,36,MIL,Brett Wichrowski,,SIRP,40.5
,22,37,LAA,Keythel Key,,SIRP,40
,22,122,CIN,Julian Aguiar,,SP,40
,22,38,NYM,Ben Simon,,SIRP,40
,22,20,LAD,Landyn Vidourek,,RF,40
,22,123,ATL,Lucas Braun,,SP,40
,22,124,CLE,Franklin Gomez,,SP,40
,22,41,PHI,Dayber Cruceta,,CF,40
,22,55,DET,Franyerber Montilla,,SS,40
,22,125,TOR,Grant Rogers,,SP,40
,22,42,ARI,Slade Caldwell,,CF,40
,22,17,CHW,Tyler Schweitzer,,MIRP,40
,22,39,NYY,Rory Fox,,SIRP,35.5
,22,17,SEA,Luis Suisbel,,3B,35.5
,23,126,MIL,Bryce Meccage,,SP,40.5
,23,40,LAA,Walbert Urena,,SIRP,40
,23,127,CIN,Sheng-En Lin,,SP,40
,23,128,NYM,Justin Hagenman,,SP,40
,23,129,STL,Cade Crossland,,SP,40
,23,21,LAD,Ching-Hsien Ko,,RF,40
,23,130,CLE,Austin Peterson,,SP,40
,23,27,PHI,Kehden Hettiger,,C,40
,23,56,DET,Jude Warwick,,SS,40
,23,41,TOR,Spencer Miles,,SIRP,40
,23,18,ARI,Yassel Soler,,3B,40
,23,43,CHW,Samuel Zavala,,CF,40
,23,131,ATL,Drue Hackenberg,,SP,35.5
,23,42,NYY,Tony Rossi,,SIRP,35.5
,23,43,SEA,Tyler Cleveland,,SIRP,35.5
,24,57,LAA,Capri Ortiz,,SS,40
,24,132,CIN,JeanPierre Ortiz,,SP,40
,24,8,NYM,Randy Guzman,,1B,40
,24,133,STL,Tanner Franklin,,SP,40
,24,19,LAD,Chase Harlan,,3B,40
,24,134,CLE,Josh Hartle,,SP,40
,24,44,PHI,Seth Johnson,,SIRP,40
,24,135,DET,Ben Jacobs,,SP,40
,24,28,MIL,Marco Dinges,,C,40
,24,29,TOR,Edward Duran,,C,40
,24,45,ARI,Brian Curley,,SIRP,40
,24,30,CHW,Fernando Graterol,,C,40
,24,136,ATL,Ethan Bagwell,,SP,35.5
,24,58,NYY,Stiven Marinez,,SS,35.5
,24,16,SEA,Charlie Pagliarini,,2B,35.5
,25,46,LAA,Peyton Olejnik,,SIRP,40
,25,137,CIN,Iker Redona,,SP,40
,25,59,NYM,Antonio Jimenez,,SS,40
,25,44,STL,Nathan Church,,CF,40
,25,138,LAD,Brooks Auger,,SP,40
,25,45,CLE,Petey Halpin,,CF,40
,25,47,PHI,Zach McCambley,,SIRP,40
,25,20,DET,Gage Workman,,3B,40
,25,139,MIL,Frank Cairone,,SP,40
,25,31,TOR,Franklin Rojas,,C,40
,25,140,ARI,Daury Vasquez,,SP,40
,25,48,ATL,Hayden Harris,,SIRP,35.5
,25,60,NYY,Dexters Peralta,,SS,35.5
,25,46,SEA,Gregory Pio,,CF,35.5
,25,141,CHW,Blake Larson,,SP,35.5
,26,142,LAA,Barrett Kent,,SP,40
,26,49,CIN,Nick Sando,,SIRP,40
,26,143,NYM,Joel Díaz,,SP,40
,26,9,STL,Blaze Jordan,,1B,40
,26,17,LAD,Reyli Mariano,,2B,40
,26,32,CLE,Jacob Cozart,,C,40
,26,50,PHI,Brad Pacheco,,SIRP,40
,26,47,DET,Jackson Strong,,CF,40
,26,144,MIL,Jaron DeBerry,,SP,40
,26,48,TOR,Jake Cook,,CF,40
,26,18,ARI,Mason Marriott,,MIRP,40
,26,51,ATL,Herick Hernandez,,SIRP,35.5
,26,21,NYY,Richard Matic,,3B,35.5
,26,52,CHW,Alexander Alberto,,SIRP,35.5
,27,145,LAA,Talon Haley,,SP,40
,27,53,CIN,Drew Petska,,SIRP,40
,27,61,NYM,Marco Vargas,,SS,40
,27,18,STL,César Prieto,,2B,40
,27,19,LAD,Sterling Patick,,MIRP,40
,27,62,CLE,Jose Devers,,SS,40
,27,54,PHI,Wen-Hui Pan,,SIRP,40
,27,146,DET,Ty Madden,,SP,40
,27,22,MIL,Brock Wilken,,3B,40
,27,23,TOR,Cutter Coffey,,3B,40
,27,22,ARI,Kristian Robinson,,RF,40
,27,63,ATL,Angel Carmona,,SS,35.5
,27,55,NYY,Jack Cebert,,SIRP,35.5
,27,23,CHW,George Wolkow,,RF,35.5
,28,64,LAA,Jeyson Horton,,SS,40
,28,56,CIN,Anyer Laureano,,SIRP,40
,28,33,NYM,Yovanny Rodriguez,,C,40
,28,147,STL,Leonel Sequera,,SP,40
,28,57,LAD,Kyle Hurt,,SIRP,40
,28,58,CLE,Peyton Pallette,,SIRP,40
,28,20,DET,Jake Miller,,MIRP,40
,28,148,MIL,Carlos Rodriguez,,SP,40
,28,34,TOR,Brandon Valenzuela,,C,40
,28,19,ARI,Cristofer Torin,,2B,40
,28,149,ATL,Brett Sears,,SP,35.5
,28,59,NYY,Chris Kean,,SIRP,35.5
,28,65,PHI,Bryan Rincon,,SS,35.5
,28,35,CHW,Landon Hodge,,C,35.5
,29,36,STL,Juan Rujano,,C,40
,29,60,LAD,Patrick Copen,,SIRP,40
,29,61,CLE,Franco Aleman,,SIRP,40
,29,62,DET,Paul Wilson,,SIRP,40
,29,10,MIL,Luke Adams,,1B,40
,29,21,TOR,Micah Bucknam,,MIRP,40
,29,49,ARI,Druw Jones,,CF,40
,29,63,LAA,Yeferson Vargas,,SIRP,35.5
,29,20,CIN,Tyler Callihan,,2B,35.5
,29,150,NYM,Yordan Rodriguez,,SP,35.5
,29,64,ATL,Cade Kuehler,,SIRP,35.5
,29,65,NYY,Luis Velasquez,,SIRP,35.5
,29,50,PHI,Devin Saltiban,,CF,35.5
,29,66,CHW,Mathias LaCombe,,SIRP,35.5
,30,1,STL,Emanuel Luna,,OF,40
,30,67,LAD,José Rodríguez,,SIRP,40
,30,68,CLE,Yorman Gómez,,SIRP,40
,30,69,DET,Michael Massey,,SIRP,40
,30,21,MIL,Daniel Dickinson,,2B,40
,30,70,TOR,T.J. Brock,,SIRP,40
,30,37,ARI,Carlos Virahonda,,C,40
,30,71,LAA,Cody Laweryson,,SIRP,35.5
,30,151,CIN,Ryjeteri Merite,,SP,35.5
,30,152,NYM,Peter Kussow,,SP,35.5
,30,24,ATL,Jose Perdomo,,3B,35.5
,30,72,NYY,Thomas Balboni Jr.,,SIRP,35.5
,30,51,PHI,Griffin Burkholder,,CF,35.5
,30,73,CHW,Jairo Iriarte,,SIRP,35.5
,31,74,STL,Luis Gastelum,,SIRP,40
,31,66,LAD,Noah Miller,,SS,40
,31,75,CLE,Jogly Garcia,,SIRP,40
,31,153,DET,Ethan Schiefelbein,,SP,40
,31,52,MIL,Kenny Fenelon,,CF,40
,31,76,TOR,Connor Cooke,,SIRP,40
,31,77,ARI,Andrew Hoffmann,,SIRP,40
,31,78,LAA,Camden Minacci,,SIRP,35.5
,31,22,CIN,Kevin Abel,,MIRP,35.5
,31,154,NYM,Camden Lohman,,SP,35.5
,31,23,ATL,Connor Thomas,,MIRP,35.5
,31,24,PHI,Michael Mercado,,MIRP,35.5
,31,22,CHW,Javier Mogollon,,2B,35.5
,32,79,STL,Austin Love,,SIRP,40
,32,155,LAD,Cam Leiter,,SP,40
,32,23,CLE,Juan Brito,,2B,40
,32,53,MIL,Brailyn Antunez,,CF,40
,32,80,TOR,Chay Yeager,,SIRP,40
,32,81,ARI,Hayden Durke,,SIRP,40
,32,156,LAA,Ubaldo Soto,,SP,35.5
,32,54,CIN,Jay Allen II,,CF,35.5
,32,157,NYM,Jose Chirinos,,SP,35.5
,32,67,ATL,Jose Manon,,SS,35.5
,32,82,PHI,Yoniel Curet,,SIRP,35.5
,32,68,DET,Trei Cruz,,SS,35.5
,32,25,CHW,Riley Gowens,,MIRP,35.5
,33,158,STL,Yhoiker Fajardo,,SP,40
,33,83,LAD,Hyun-Seok Jang,,SIRP,40
,33,25,CLE,Dean Curley,,3B,40
,33,69,MIL,José Rodríguez,,SS,40
,33,84,TOR,Javen Coleman,,SIRP,40
,33,85,ARI,Yordin Chalas,,SIRP,40
,33,24,LAA,Junior Suriel,,RF,35.5
,33,70,CIN,Victor Acosta,,SS,35.5
,33,55,NYM,Heriberto Rincon,,CF,35.5
,33,56,ATL,Starlyn De La Cruz,,CF,35.5
,33,86,PHI,Cristhian Tortosa,,SIRP,35.5
,33,26,DET,Izaac Pacheco,,3B,35.5
,33,87,CHW,Ben Peoples,,SIRP,35.5
,34,88,LAD,Brady Smith,,SIRP,40
,34,89,CLE,Andrew Walters,,SIRP,40
,34,26,MIL,Tate Kuehner,,MIRP,40
,34,90,ARI,Sandro Santana,,SIRP,40
,34,91,CHW,Tyler Davis,,SIRP,35.5
,34,27,LAA,Jhon Almonte,,MIRP,35.5
,34,57,CIN,Kyle Henley,,CF,35.5
,34,71,NYM,Colin Houck,,SS,35.5
,34,159,STL,Nate Dohm,,SP,35.5
,34,92,PHI,Titan Kennedy-Hayes,,SIRP,35.5
,34,160,DET,River Hamilton,,SP,35.5
,34,93,TOR,Yondrei Rojas,,SIRP,35.5
,35,58,LAD,Rubel Arias,,CF,40
,35,25,ARI,Gavin Conticello,,RF,40
,35,2,CHW,Jacob Gonzalez,,UTIL,35.5
,35,2,LAA,Carlos Castillo,,OF,35.5
,35,26,CIN,Yerlin Confidan,,RF,35.5
,35,94,NYM,Douglas Orellana,,SIRP,35.5
,35,161,STL,Blake Aita,,SP,35.5
,35,28,CLE,Doug Nikhazy,,MIRP,35.5
,35,162,DET,Ryan Hall,,SP,35.5
,35,163,MIL,Jacob Morrison,,SP,35.5
,35,164,TOR,Fernando Perez,,SP,35.5
,36,165,ARI,Yu-Min Lin,,SP,40
,36,29,CHW,Shane Murphy,,MIRP,35.5
,36,1,LAA,Kendri Fana,,RHP,35.5
,36,27,CIN,Adolfo Sanchez,,RF,35.5
,36,95,NYM,Felipe De La Cruz,,SIRP,35.5
,36,166,STL,Braden Davis,,SP,35.5
